Sno,Date,State,Confirmed,Recovered,Deceased,State_Name
1,14-Mar-20,CT,0,0,0,Chhattisgarh
2,15-Mar-20,CT,0,0,0,Chhattisgarh
3,16-Mar-20,CT,0,0,0,Chhattisgarh
4,17-Mar-20,CT,0,0,0,Chhattisgarh
5,18-Mar-20,CT,0,0,0,Chhattisgarh
6,19-Mar-20,CT,1,0,0,Chhattisgarh
7,20-Mar-20,CT,0,0,0,Chhattisgarh
8,21-Mar-20,CT,0,0,0,Chhattisgarh
9,22-Mar-20,CT,0,0,0,Chhattisgarh
10,23-Mar-20,CT,0,0,0,Chhattisgarh
11,24-Mar-20,CT,0,0,0,Chhattisgarh
12,25-Mar-20,CT,2,0,0,Chhattisgarh
13,26-Mar-20,CT,3,0,0,Chhattisgarh
14,27-Mar-20,CT,0,0,0,Chhattisgarh
15,28-Mar-20,CT,1,0,0,Chhattisgarh
16,29-Mar-20,CT,0,0,0,Chhattisgarh
17,30-Mar-20,CT,1,0,0,Chhattisgarh
18,31-Mar-20,CT,1,2,0,Chhattisgarh
19,01-Apr-20,CT,0,0,0,Chhattisgarh
20,02-Apr-20,CT,0,1,0,Chhattisgarh
21,03-Apr-20,CT,0,0,0,Chhattisgarh
22,04-Apr-20,CT,1,0,0,Chhattisgarh
23,05-Apr-20,CT,0,5,0,Chhattisgarh
24,06-Apr-20,CT,0,0,0,Chhattisgarh
25,07-Apr-20,CT,0,1,0,Chhattisgarh
26,08-Apr-20,CT,0,0,0,Chhattisgarh
27,09-Apr-20,CT,8,0,0,Chhattisgarh
28,10-Apr-20,CT,0,0,0,Chhattisgarh
29,11-Apr-20,CT,7,0,0,Chhattisgarh
30,12-Apr-20,CT,6,1,0,Chhattisgarh
31,13-Apr-20,CT,0,0,0,Chhattisgarh
32,14-Apr-20,CT,2,3,0,Chhattisgarh
33,15-Apr-20,CT,0,4,0,Chhattisgarh
34,16-Apr-20,CT,3,6,0,Chhattisgarh
35,17-Apr-20,CT,0,1,0,Chhattisgarh
36,18-Apr-20,CT,0,1,0,Chhattisgarh
37,19-Apr-20,CT,0,0,0,Chhattisgarh
38,20-Apr-20,CT,0,0,0,Chhattisgarh
39,21-Apr-20,CT,0,0,0,Chhattisgarh
40,22-Apr-20,CT,0,3,0,Chhattisgarh
41,23-Apr-20,CT,0,2,0,Chhattisgarh
42,24-Apr-20,CT,0,0,0,Chhattisgarh
43,25-Apr-20,CT,1,2,0,Chhattisgarh
44,26-Apr-20,CT,0,0,0,Chhattisgarh
45,27-Apr-20,CT,0,0,0,Chhattisgarh
46,28-Apr-20,CT,1,2,0,Chhattisgarh
47,29-Apr-20,CT,0,0,0,Chhattisgarh
48,30-Apr-20,CT,2,2,0,Chhattisgarh
49,01-May-20,CT,3,0,0,Chhattisgarh
50,02-May-20,CT,0,0,0,Chhattisgarh
51,03-May-20,CT,14,0,0,Chhattisgarh
52,04-May-20,CT,1,0,0,Chhattisgarh
53,05-May-20,CT,1,0,0,Chhattisgarh
54,06-May-20,CT,0,0,0,Chhattisgarh
55,07-May-20,CT,0,0,0,Chhattisgarh
56,08-May-20,CT,0,2,0,Chhattisgarh
57,09-May-20,CT,0,5,0,Chhattisgarh
58,10-May-20,CT,0,6,0,Chhattisgarh
59,11-May-20,CT,0,4,0,Chhattisgarh
60,12-May-20,CT,0,1,0,Chhattisgarh
61,13-May-20,CT,0,1,0,Chhattisgarh
62,14-May-20,CT,1,1,0,Chhattisgarh
63,15-May-20,CT,6,0,0,Chhattisgarh
64,16-May-20,CT,1,2,0,Chhattisgarh
65,17-May-20,CT,18,1,0,Chhattisgarh
66,18-May-20,CT,10,0,0,Chhattisgarh
67,19-May-20,CT,5,0,0,Chhattisgarh
68,20-May-20,CT,14,0,0,Chhattisgarh
69,21-May-20,CT,14,0,0,Chhattisgarh
70,22-May-20,CT,44,3,0,Chhattisgarh
71,23-May-20,CT,42,2,0,Chhattisgarh
72,24-May-20,CT,38,0,0,Chhattisgarh
73,25-May-20,CT,40,3,0,Chhattisgarh
74,26-May-20,CT,68,12,0,Chhattisgarh
75,27-May-20,CT,4,4,0,Chhattisgarh
76,28-May-20,CT,34,0,0,Chhattisgarh
77,29-May-20,CT,17,17,1,Chhattisgarh
78,30-May-20,CT,32,2,0,Chhattisgarh
79,31-May-20,CT,51,12,0,Chhattisgarh
80,01-Jun-20,CT,49,7,0,Chhattisgarh
81,02-Jun-20,CT,15,9,1,Chhattisgarh
82,03-Jun-20,CT,64,40,0,Chhattisgarh
83,04-Jun-20,CT,147,36,0,Chhattisgarh
84,05-Jun-20,CT,90,25,0,Chhattisgarh
85,06-Jun-20,CT,60,28,2,Chhattisgarh
86,07-Jun-20,CT,150,7,0,Chhattisgarh
87,08-Jun-20,CT,124,69,0,Chhattisgarh
88,09-Jun-20,CT,14,12,1,Chhattisgarh
89,10-Jun-20,CT,51,4,1,Chhattisgarh
90,11-Jun-20,CT,136,70,0,Chhattisgarh
91,12-Jun-20,CT,47,123,0,Chhattisgarh
92,13-Jun-20,CT,105,87,0,Chhattisgarh
93,14-Jun-20,CT,121,88,3,Chhattisgarh
94,15-Jun-20,CT,44,124,0,Chhattisgarh
95,16-Jun-20,CT,69,91,0,Chhattisgarh
96,17-Jun-20,CT,80,165,0,Chhattisgarh
97,18-Jun-20,CT,82,103,0,Chhattisgarh
98,19-Jun-20,CT,72,103,1,Chhattisgarh
99,20-Jun-20,CT,116,63,1,Chhattisgarh
100,21-Jun-20,CT,121,53,0,Chhattisgarh
101,22-Jun-20,CT,47,66,1,Chhattisgarh
102,23-Jun-20,CT,83,40,0,Chhattisgarh
103,24-Jun-20,CT,34,74,0,Chhattisgarh
104,25-Jun-20,CT,37,128,0,Chhattisgarh
105,26-Jun-20,CT,89,156,1,Chhattisgarh
106,27-Jun-20,CT,65,52,0,Chhattisgarh
107,28-Jun-20,CT,84,125,0,Chhattisgarh
108,29-Jun-20,CT,101,88,0,Chhattisgarh
109,30-Jun-20,CT,63,100,0,Chhattisgarh
110,01-Jul-20,CT,82,53,1,Chhattisgarh
111,02-Jul-20,CT,73,59,0,Chhattisgarh
112,03-Jul-20,CT,52,52,0,Chhattisgarh
113,04-Jul-20,CT,96,112,0,Chhattisgarh
114,05-Jul-20,CT,46,52,0,Chhattisgarh
115,06-Jul-20,CT,98,66,0,Chhattisgarh
116,07-Jul-20,CT,110,84,0,Chhattisgarh
117,08-Jul-20,CT,111,107,0,Chhattisgarh
